Gene,Transcript,Prot_length
KYAT3,NM_001008662,420
RBMXL1,NM_019610,390
TYW3,NM_001162916,226
PTAFR,NM_001164721,342
SMIM12,NM_001164824,92
EPB41,NM_001166005,864
EPB41,NM_001166006,720
EPB41,NM_203342,641
FUCA1,NM_000147,466
HMGCL,NM_001166059,254
PTCH2,NM_001166292,1146
SSX2IP,NM_001166295,587
RCC1,NM_001048199,421
CFAP57,NM_152498,698
CFAP57,NM_001167965,698
ZNHIT6,NM_001170670,431
MIB2,NM_001170688,1005
C1orf127,NM_001170754,823
FAAP20,NM_001146310,230
TMEM200B,NM_001171868,307
SCMH1,NM_001031694,660
SCMH1,NM_001172221,599
NEXN,NM_001172309,611
PGM1,NM_001172818,580
PGM1,NM_001172819,365
YTHDF2,NM_001173128,579
ODF2L,NM_001184766,591
ODF2L,NM_001184765,620
NDUFS5,NM_001184979,106
CLDN19,NM_001185117,218
AK4,NM_203464,223
AK4,NM_001005353,223
TUT4,NM_015269,1644
CTH,NM_001190463,373
CTH,NM_153742,361
ORC1,NM_001190818,861
ORC1,NM_001190819,856
WLS,NM_001193334,450
WLS,NM_001002292,543
CRYBG2,NM_001039775,1661
SCP2,NM_001007098,322
SCP2,NM_001007250,59
PPIE,NM_203456,296
PPIE,NM_001195007,314
GRHL3,NM_021180,607
CSF3R,NM_156039,863
PAQR7,NM_178422,346
NASP,NM_001195193,724
TMEM35B,NM_001195156,154
CC2D1B,NM_032449,858
THAP3,NM_138350,175
THAP3,NM_001195752,238
THAP3,NM_001195753,239
LEPROT,NM_001198681,140
LEPR,NM_001003680,958
LEPR,NM_001003679,896
LEPR,NM_001198688,906
LEPR,NM_001198689,896
EIF4G3,NM_003760,1585
FOXJ3,NM_001198852,588
SMAP2,NM_001198978,399
SMAP2,NM_001198979,424
SMAP2,NM_001198980,349
STPG1,NM_001199012,334
STPG1,NM_178122,287
STPG1,NM_001199014,242
ECHDC2,NM_001198962,244
NADK,NM_001198995,414
SERINC2,NM_018565,459
SERINC2,NM_001199037,459
FPGT-TNNI3K,NM_001112808,949
FPGT-TNNI3K,NM_001199327,856
PSMB2,NM_001199780,84
SLC35E2A,NM_182838,266
RPL11,NM_001199802,177
INSL5,NM_005478,135
ATG4C,NM_178221,458
AKR1A1,NM_001202413,325
PRDX1,NM_181696,199
PRDX1,NM_002574,199
PRDX1,NM_001202431,199
MICOS10,NM_001204082,62
NBL1,NM_182744,216
NBL1,NM_001204085,181
NBL1,NM_001204084,181
NBL1,NM_001204086,215
TP73,NM_001204187,555
TP73,NM_001204188,540
ATP5IF1,NM_178191,60
TINAGL1,NM_001204414,436
TINAGL1,NM_001204415,362
SH3GLB1,NM_001206651,394
SH3GLB1,NM_001206653,265
ITGB3BP,NM_014288,177
ITGB3BP,NM_001206739,216
NRDC,NM_001242361,1087
ZNF691,NM_015911,284
TMEM269,NM_001242750,245
CAMTA1,NM_001242701,101
ZBTB17,NM_001242884,721
B4GALT2,NM_003780,372
B4GALT2,NM_001005417,372
B4GALT2,NM_030587,401
P3H1,NM_001243246,804
HYI,NM_001190880,277
HYI,NM_001243526,272
PDIK1L,NM_001243532,341
ANKRD65,NM_001145210,399
DHDDS,NM_024887,334
DHDDS,NM_001243564,299
DHDDS,NM_001243565,294
ATPAF1,NM_022745,351
ATPAF1,NM_001042546,283
ATPAF1,NM_001243728,240
POMGNT1,NM_001243766,748
BTF3L4,NM_001243767,78
AKR7A2,NM_003689,359
RCAN3,NM_001251984,116
RCAN3,NM_001251981,183
RCAN3,NM_001251985,115
RCAN3,NM_001251978,241
RCAN3,NM_001251980,231
RCAN3,NM_001251982,173
RCAN3,NM_001251983,116
MCOLN3,NM_001253693,497
NSUN4,NM_199044,384
S100PBP,NM_001256121,408
ELOVL1,NM_001256399,279
ELOVL1,NM_001256401,252
ATPAF1,NM_001256418,177
INTS11,NM_001256456,606
INTS11,NM_001256460,571
INTS11,NM_001256462,502
TRIM63,NM_032588,353
DNAJC6,NM_001256865,900
FAAP20,NM_001256945,189
FAAP20,NM_001256946,195
FAAP20,NM_001256947,112
CLCN6,NM_001256959,847
CLCNKB,NM_001165945,517
IL12RB2,NM_001258214,659
IL12RB2,NM_001258215,776
IL12RB2,NM_001258216,635
EIF2B3,NM_001166588,412
EIF2B3,NM_001261418,401
PLEKHG5,NM_198681,1083
PLEKHG5,NM_001265592,1085
PLEKHG5,NM_001265593,1075
USP33,NM_015017,942
USP33,NM_201624,911
MIGA1,NM_001270384,633
MIGA1,NM_198549,632
TRAPPC3,NM_001270894,188
TRAPPC3,NM_001270897,114
TRAPPC3,NM_001270895,134
MST1L,NM_001271733,689
PLA2G2D,NM_001271814,62
DOCK7,NM_033407,2109
DOCK7,NM_001271999,2129
DOCK7,NM_001272000,2100
DOCK7,NM_001272001,2098
LDLRAD1,NM_001276392,166
LDLRAD1,NM_001276393,162
ZFYVE9,NM_004799,1425
CASP9,NM_001278054,266
CASP9,NM_032996,333
NBL1,NM_001278164,181
NBL1,NM_001278165,181
NBL1,NM_001278166,181
MACF1,NM_012090,5430
MIER1,NM_001278215,81
FPGT,NM_003838,607
FPGT,NM_001199329,182
FPGT,NM_001199328,353
C1orf195,NM_001278501,126
C1orf195,NM_001278502,71
C8B,NM_001278543,539
C8B,NM_001278544,529
CSMD2,NM_001281956,3631
CSMD2,NM_052896,3487
SPOCD1,NM_001281987,1203
SPOCD1,NM_001281988,696
HPCAL4,NM_001282396,191
HPCAL4,NM_001282397,119
ZCCHC17,NM_001282572,168
ZCCHC17,NM_001282566,263
ZCCHC17,NM_001282570,217
ZCCHC17,NM_001282569,233
ZCCHC17,NM_001282574,146
MACO1,NM_001282564,437
ZCCHC17,NM_001282573,160
ZCCHC17,NM_001282571,179
ZCCHC17,NM_001282568,241
ZCCHC17,NM_001282567,243
ZCCHC17,NM_016505,241
EYA3,NM_001282561,527
EYA3,NM_001282562,520
GNB1,NM_001282538,240
GNB1,NM_001282539,340
MXRA8,NM_001282585,450
MXRA8,NM_001282584,341
MXRA8,NM_001282582,442
DFFB,NM_001282669,362
FAAP20,NM_001282670,283
FAAP20,NM_001282671,147
FAAP20,NM_001282672,147
FAAP20,NM_001282673,170
RHD,NM_016124,417
RHD,NM_001282868,378
RHD,NM_001282870,463
RHD,NM_001282872,431
STIL,NM_001282936,1287
STIL,NM_001282937,1270
STIL,NM_001282938,1241
STIL,NM_001282939,1223
ACADM,NM_000016,421
ACADM,NM_001127328,425
ACADM,NM_001286042,385
ACADM,NM_001286043,454
ACADM,NM_001286044,232
RPA2,NM_001286076,174
THEMIS2,NM_001286113,514
THEMIS2,NM_001039477,123
THEMIS2,NM_004848,260
THEMIS2,NM_001286115,447
SPATA6,NM_001286239,474
PPCS,NM_001287510,138
PPCS,NM_001287508,138
AUNIP,NM_001287490,371
PPCS,NM_001287506,138
PPCS,NM_001287511,244
PPCS,NM_001077447,138
PPCS,NM_001287509,138
PPCS,NM_001287507,105
ZBTB17,NM_001287604,727
ZBTB17,NM_001287603,810
MFSD2A,NM_001287808,374
DNAJC16,NM_001287811,470
WDR63,NM_001288563,852
SMIM1,NM_001163724,78
SMIM1,NM_001288583,78
MAN1C1,NM_020379,630
MAN1C1,NM_001289010,590
ZMYM1,NM_001289088,1142
ZMYM1,NM_001289090,1142
ZMYM1,NM_001289091,782
ZMYM1,NM_001289089,1123
HMGB4,NM_145205,186
TAL1,NM_001287347,331
PER3,NM_001289861,1191
PER3,NM_001289862,1210
PADI6,NM_207421,694
LCK,NM_001042771,509
POMGNT1,NM_001290129,638
POMGNT1,NM_001290130,517
TAL1,NM_003189,331
TAL1,NM_001290403,331
TAL1,NM_001290404,331
TAL1,NM_001290405,331
TNFRSF8,NM_001281430,483
HNRNPCL2,NM_001136561,293
MROH7,NM_001291332,841
TTC4,NM_001291333,288
PRAMEF12,NM_001080830,483
PRAMEF4,NM_001009611,478
HNRNPCL3,NM_001146181,293
MUTYH,NM_001293191,532
MUTYH,NM_001293190,536
MUTYH,NM_001293192,429
MUTYH,NM_001293195,521
MUTYH,NM_001293196,429
CACHD1,NM_001293274,978
AHDC1,NM_001029882,1603
PRAMEF1,NM_023013,474
PRAMEF1,NM_001294139,229
PDE4B,NM_001037339,564
PDE4B,NM_001037340,721
PDE4B,NM_001297440,644
PDE4B,NM_001297441,661
RPA2,NM_001297558,278
TNFRSF14,NM_003820,283
TNFRSF14,NM_001297605,184
TTC39A,NM_001297665,613
TTC39A,NM_001080494,578
TTC39A,NM_001297663,577
TTC39A,NM_001297667,154
TTC39A,NM_001144832,581
TTC39A,NM_001297666,221
TTC39A,NM_001297664,550
NMNAT1,NM_001297778,279
TMEM53,NM_001300746,204
SLFNL1,NM_001168247,407
PRKACB,NM_002731,351
PRKACB,NM_001242857,358
PRKACB,NM_001242858,339
PRKACB,NM_001242859,355
PRKACB,NM_001242860,357
PRKACB,NM_001242861,321
PRKACB,NM_001242862,338
CCDC28B,NM_024296,200
ERI3,NM_001301699,259
ERI3,NM_001301700,208
ERI3,NM_001301701,160
AZIN2,NM_001301825,480
AZIN2,NM_001301826,362
BEND5,NM_001302082,252
HNRNPCL4,NM_001302551,293
CLSTN1,NM_001302883,962
CLSTN1,NM_014944,971
PLCH2,NM_001303013,1019
HNRNPCL1,NM_001013631,293
NT5C1A,NM_032526,368
PIK3R3,NM_001303428,478
FUBP1,NM_001303433,665
FUBP1,NM_003902,644
SRRM1,NM_001303449,877
TCTEX1D4,NM_001013632,221
SMPDL3B,NM_001009568,373
CZIB,NM_001304759,141
EVA1B,NM_018166,165
DMRTB1,NM_033067,342
CZIB,NM_001304760,113
FBXO44,NM_001304790,224
TMEM59,NM_001305049,193
TMEM59,NM_001305051,192
TMEM59,NM_001305052,192
TMEM59,NM_001305066,145
ZNF683,NM_173574,504
ZNF683,NM_001114759,504
ZNF683,NM_001307925,524
CYP4A22,NM_001308102,357
ZZZ3,NM_001308237,409
NFYC,NM_001308114,458
EPHB2,NM_004442,987
EPHB2,NM_017449,986
FAM231BP,NM_001310155,169
TRIT1,NM_001312691,441
TRIT1,NM_001312692,385
HSPB11,NM_001316935,144
HSPB11,NM_016126,144
DNAJB4,NM_001317099,337
DNAJB4,NM_001317100,297
DNAJB4,NM_001317101,222
DNAJB4,NM_001317102,222
DNAJB4,NM_001317103,77
AGO1,NM_001317123,782
RSC1A1,NM_006511,617
AK2,NM_001319140,191
AK2,NM_001319143,133
GBP3,NM_001319180,461
EIF3I,NM_003757,325
ALDH4A1,NM_001319218,512
MAST2,NM_001319245,1797
IL12RB2,NM_001319233,659
PPIE,NM_001319293,283
SCMH1,NM_001172222,480
TMEM39B,NM_001319677,365
ARHGEF10L,NM_001319837,1235
ARHGEF10L,NM_001319838,982
ZMYM1,NM_001319955,1067
RNF220,NM_001319956,566
DHDDS,NM_001319959,240
CYP4X1,NM_001320289,508
RUNX3,NM_001320672,429
PKN2,NM_001320707,936
JAK1,NM_001320923,1154
AKR7A2,NM_001320979,324
FABP3,NM_001320996,144
RSRP1,NM_001321772,290
JAK1,NM_001321856,1154
KNCN,NM_001322255,124
NIPAL3,NM_001322854,406
NIPAL3,NM_001322859,245
NIPAL3,NM_001322862,324
NIPAL3,NM_001322863,324
NIPAL3,NM_001322864,405
NIPAL3,NM_001322858,245
NIPAL3,NM_001322856,406
NIPAL3,NM_001322855,406
NIPAL3,NM_001322857,406
NIPAL3,NM_001322868,355
NIPAL3,NM_001322860,245
NIPAL3,NM_001322861,245
NIPAL3,NM_001322866,397
GNL2,NM_001323624,548
GNL2,NM_001323623,799
ZBTB17,NM_001324138,740
ZBTB17,NM_001324137,727
ELAVL4,NM_001324216,128
MAST2,NM_001324321,1644
MAST2,NM_001324320,1805
EIF4G3,NM_001198803,515
ARHGEF10L,NM_001328124,1057
SLC6A9,NM_001328629,633
SLC6A9,NM_001328628,568
SLC6A9,NM_001328627,612
PIK3R3,NM_001328648,417
PIK3R3,NM_001328649,417
PIK3R3,NM_001328650,417
PIK3R3,NM_001328651,417
PTPRF,NM_001329138,1637
PTPRF,NM_001329139,1623
PTPRF,NM_001329137,1629
PTPRF,NM_130440,1898
FCN3,NM_003665,299
FCN3,NM_173452,288
PTPRF,NM_001329140,1603
UBIAD1,NM_001330349,211
UBIAD1,NM_001330350,179
FBXO44,NM_001330355,256
CAP1,NM_001330502,474
PHC2,NM_001330488,830
CD164L2,NM_001330448,174
MRPL37,NM_001330602,483
TRIM62,NM_001330483,354
SCP2,NM_001330587,366
ZBTB40,NM_001330398,1127
OSCP1,NM_001330493,389
MTHFR,NM_001330358,697
NIPAL3,NM_001330409,368
DOCK7,NM_001330614,2131
PUSL1,NM_001346116,326
EXO5,NM_001346946,373
EXO5,NM_001346947,373
EXO5,NM_001346950,373
EXO5,NM_001346954,373
EXO5,NM_001346955,373
EXO5,NM_001346953,373
EXO5,NM_001346949,373
EXO5,NM_001346956,373
EXO5,NM_001346952,373
EXO5,NM_001346951,373
EXO5,NM_022774,373
EXO5,NM_001346948,373
ITGB3BP,NM_001347145,181
ITGB3BP,NM_001347147,173
ITGB3BP,NM_001347148,137
C1QA,NM_001347466,245
C1orf216,NM_001348691,229
ATAD3A,NM_001170536,507
CCDC24,NM_001349127,312
CCDC24,NM_001349128,319
CCDC24,NM_001349129,173
TMCO4,NM_001349115,314
KYAT3,NM_001349448,454
KYAT3,NM_001349449,290
KYAT3,NM_001349447,420
KYAT3,NM_001349450,290
CAMTA1,NM_001349625,584
CAMTA1,NM_001349614,704
CAMTA1,NM_001349623,584
CAMTA1,NM_001349621,591
CAMTA1,NM_001349617,697
CAMTA1,NM_001349620,591
CAMTA1,NM_001349613,716
HSPB7,NM_001349687,165
HSPB7,NM_001349682,245
HSPB7,NM_001349688,169
HSPB7,NM_001349685,164
HSPB7,NM_001349689,175
HSPB7,NM_001349686,156
HSPB7,NM_001349683,174
BEND5,NM_001349793,252
BEND5,NM_001349794,252
BEND5,NM_001349795,336
COL24A1,NM_001349955,1014
USP48,NM_001330394,983
USP48,NM_001032730,485
INPP5B,NM_001350228,693
PIK3CD,NM_001350235,1015
AZIN2,NM_001350402,309
CAP1,NM_001350475,475
CAP1,NM_001350476,475
CAP1,NM_001350478,475
CAP1,NM_001350479,475
CAP1,NM_001350480,475
CAP1,NM_001350481,475
CAP1,NM_001350482,474
CAP1,NM_001350483,474
CAP1,NM_001350484,474
CAP1,NM_001350485,474
CCNL2,NM_001039577,226
CCNL2,NM_001350497,298
ST3GAL3,NM_174965,170
ST3GAL3,NM_001270465,185
ST3GAL3,NM_001270466,101
SCMH1,NM_001350668,470
MUTYH,NM_001350650,406
MUTYH,NM_001350651,406
ADGRL2,NM_001330645,1416
ADGRL2,NM_012302,1403
ADGRL2,NM_001297704,1403
ADGRL2,NM_001297705,1177
ADGRL2,NM_001297706,1123
PRKCZ,NM_001242874,488
PRKCZ,NM_001033582,409
PRKCZ,NM_001033581,409
PRKCZ,NM_001350803,417
PRKCZ,NM_001350804,417
PRKCZ,NM_001350805,355
PRKCZ,NM_001350806,355
RHCE,NM_001330430,372
RHCE,NM_138616,266
RHCE,NM_138617,267
RHCE,NM_020485,417
RAB42,NM_001193532,218
C1orf185,NM_001136508,199
CDCP2,NM_201546,449
FHAD1,NM_052929,1412
CCDC30,NM_001080850,783
RPL11,NM_000975,178
ENO1,NM_001428,434
VPS13D,NM_015378,4388
BCL10,NM_003921,233
SLC2A1,NM_006516,492
CTPS1,NM_001905,591
ISG15,NM_005101,165
RHCE,NM_138618,354
ALG6,NM_013339,507
B3GALT6,NM_080605,329
DHCR24,NM_014762,516
RIMS3,NM_014747,308
UROD,NM_000374,367
TTC34,NM_001242672,1079
ESPN,NM_031475,854
BSND,NM_057176,320
CMPK1,NM_016308,228
ZBTB8OS,NM_001308141,110
ZBTB8OS,NM_001308137,141
ZBTB8OS,NM_001308139,110
ZBTB8OS,NM_001330475,131
ZBTB8OS,NM_001308138,110
ZBTB8OS,NM_001308140,110
ZBTB8OS,NM_178547,179
ZBTB8OS,NM_001308136,148
ZBTB8OS,NM_001308135,172
ODF2L,NM_020729,620
ODF2L,NM_001007022,636
FOXO6,NM_001291281,559
KCNQ4,NM_004700,695
AZIN2,NM_052998,460
SDC3,NM_014654,442
FOXE3,NM_012186,319
NR0B2,NM_021969,257
FAM43B,NM_207334,329
HNRNPR,NM_005826,633
PLA2G5,NM_000929,138
USP1,NM_003368,785
STX12,NM_177424,276
HPCAL4,NM_016257,191
SLC66A1,NM_001040125,291
PRKAA2,NM_006252,552
NDUFS5,NM_004552,106
ROR1,NM_005012,937
ERMAP,NM_001017922,475
EPHA2,NM_004431,976
CZIB,NM_017887,160
SERINC2,NM_178865,455
HS2ST1,NM_012262,356
MAGOH,NM_002370,146
UBXN10,NM_152376,280
C8B,NM_000066,591
COL8A2,NM_005202,703
TSSK3,NM_052841,268
FOXJ3,NM_014947,622
PTPRU,NM_133178,1436
CRYZ,NM_001889,329
TUT4,NM_001009881,1645
PPCS,NM_024664,311
RABGGTB,NM_004582,331
PUSL1,NM_153339,303
PPIH,NM_006347,177
AK4,NM_013410,223
EYA3,NM_001990,573
TOE1,NM_025077,510
GJA4,NM_002060,333
DHRS3,NM_004753,302
ARTN,NM_057091,220
ZC3H12A,NM_025079,599
ECE1,NM_001397,770
DNAJC6,NM_001256864,970
ASAP3,NM_017707,903
TNNI3K,NM_015978,835
ST6GALNAC5,NM_030965,336
TMEM69,NM_016486,247
EFCAB14,NM_014774,495
IPO13,NM_014652,963
RBBP4,NM_005610,425
NEGR1,NM_173808,354
TNFRSF8,NM_001243,595
PSMB2,NM_002794,201
CROCC,NM_014675,2017
SRSF4,NM_005626,494
ARMH1,NM_001145636,440
MARCKSL1,NM_023009,195
MYCBP,NM_012333,103
CENPS,NM_199294,138
GRIK3,NM_000831,919
PDE4B,NM_002600,736
AGMAT,NM_024758,352
ZDHHC18,NM_032283,388
DMRTA2,NM_032110,542
IFI6,NM_002038,130
SLC25A34,NM_207348,304
FAAP20,NM_182533,180
MIIP,NM_021933,388
HSPG2,NM_005529,4391
TRNAU1AP,NM_017846,287
LCK,NM_005356,509
TMEM125,NM_144626,219
CHD5,NM_015557,1954
WDR63,NM_145172,891
GJB3,NM_024009,270
PTPRF,NM_002840,1907
INPP5B,NM_005540,913
TMEM39B,NM_018056,492
TMEM201,NM_001130924,666
FGR,NM_005248,529
EFCAB7,NM_032437,629
PRKCZ,NM_002744,592
ZBTB40,NM_014870,1239
CLSPN,NM_022111,1339
CASZ1,NM_001079843,1759
CCNL2,NM_030937,520
CAMTA1,NM_015215,1673
C1QC,NM_172369,245
SFPQ,NM_005066,707
AGO4,NM_017629,861
WLS,NM_024911,541
PRPF38A,NM_032864,312
CLCA2,NM_006536,943
RAB3B,NM_002867,219
GUCA2B,NM_007102,112
FBXO6,NM_018438,293
BEND5,NM_024603,421
RNF207,NM_207396,634
ORC1,NM_004153,861
RER1,NM_007033,196
WRAP73,NM_017818,460
GTF2B,NM_001514,316
LURAP1,NM_001013615,239
KHDRBS1,NM_006559,443
DEPDC1,NM_001114120,811
LRRC40,NM_017768,602
ATG4C,NM_032852,458
SH3GLB1,NM_016009,365
VWA1,NM_022834,445
PLEKHM2,NM_015164,1019
ZRANB2,NM_203350,330
GPN2,NM_018066,310
ZBTB48,NM_005341,688
FAAH,NM_001441,579
CDC20,NM_001255,499
PTP4A2,NM_080391,167
ZNF593,NM_015871,134
CYP4A11,NM_000778,519
PTAFR,NM_000952,342
TP73,NM_005427,636
RRAGC,NM_022157,399
PEF1,NM_012392,284
TMCO2,NM_001008740,182
MEGF6,NM_001409,1541
UTP11,NM_016037,253
MYOM3,NM_152372,1437
IFFO2,NM_001136265,517
AGRN,NM_198576,2045
PKN2,NM_006256,984
TTLL7,NM_024686,887
ACAP3,NM_030649,834
ELOVL1,NM_022821,279
TENT5B,NM_052943,425
TRIM62,NM_018207,475
KDM4A,NM_014663,1064
LAPTM5,NM_006762,262
TMEM53,NM_024587,277
NPPB,NM_002521,134
SKI,NM_003036,728
C1orf158,NM_152290,194
SYF2,NM_015484,243
CLIC4,NM_013943,253
EPHA8,NM_020526,1005
DNAJC8,NM_014280,253
PLK3,NM_004073,646
RAD54L,NM_003579,747
TTC4,NM_004623,387
WASF2,NM_006990,498
CCDC24,NM_152499,307
EMC1,NM_015047,993
GNB1,NM_002074,340
CELA2A,NM_033440,269
SLC25A33,NM_032315,321
GPATCH3,NM_022078,525
TINAGL1,NM_022164,467
IGSF21,NM_032880,467
ZNF684,NM_152373,378
C1orf52,NM_198077,182
PINK1,NM_032409,581
CA6,NM_001215,308
NMNAT1,NM_022787,279
NCDN,NM_014284,729
AGTRAP,NM_020350,159
SPEN,NM_015001,3664
PLOD1,NM_000302,727
TMEM61,NM_182532,210
YBX1,NM_004559,324
NECAP2,NM_018090,263
IFNLR1,NM_170743,520
ARID1A,NM_006015,2285
STPG1,NM_001199013,334
USP24,NM_015306,2620
PGD,NM_002631,483
AGBL4,NM_032785,503
CPTP,NM_001029885,214
PPP1R8,NM_014110,351
SH3BGRL3,NM_031286,93
ZSWIM5,NM_020883,1185
BTF3L4,NM_152265,158
KLHL17,NM_198317,642
CTNNBIP1,NM_020248,81
ECHDC2,NM_001198961,292
PGM1,NM_002633,562
TRAPPC3,NM_014408,180
E2F2,NM_004091,437
LZIC,NM_032368,190
GADD45A,NM_001924,165
MED18,NM_017638,208
LEPROT,NM_017526,131
TMEM240,NM_001114748,173
SPSB1,NM_025106,273
GNL2,NM_013285,731
C1orf87,NM_152377,546
CD52,NM_001803,61
MCOLN2,NM_153259,566
CDK11A,NM_024011,780
RCC2,NM_018715,522
TNFRSF18,NM_004195,241
GJB5,NM_005268,273
DNAJC16,NM_015291,782
TFAP2E,NM_178548,442
MAST2,NM_015112,1798
PADI2,NM_007365,665
TMEM200B,NM_001003682,307
DPH2,NM_001384,489
OPRD1,NM_000911,372
COL24A1,NM_152890,1714
ALDH4A1,NM_003748,563
STMN1,NM_005563,149
TTC22,NM_001114108,569
CPLANE2,NM_030907,258
SRRM1,NM_005839,904
ZYG11B,NM_024646,744
WDTC1,NM_001276252,677
CAP1,NM_001350477,475
LMO4,NM_006769,165
ACTL8,NM_030812,366
IFI44,NM_006417,444
GALE,NM_001008216,348
FAM110D,NM_024869,271
C1QA,NM_015991,245
PAX7,NM_001135254,505
LRRC38,NM_001010847,294
COA7,NM_023077,231
DISP3,NM_020780,1392
C1orf122,NM_198446,110
FAM151A,NM_176782,585
ZFP69B,NM_023070,534
CPT2,NM_000098,658
BMP8A,NM_181809,402
OSBPL9,NM_024586,736
CYP4X1,NM_178033,509
KIAA1522,NM_020888,1094
CALML6,NM_138705,181
SZRD1,NM_001114600,152
MROH7,NM_001039464,1323
SF3A3,NM_006802,501
ANGPTL7,NM_021146,346
ST6GALNAC3,NM_152996,305
CAPZB,NM_004930,272
JAK1,NM_002227,1154
NFIA,NM_001134673,509
MMEL1,NM_033467,779
TAS1R1,NM_138697,841
PADI1,NM_013358,663
HIVEP3,NM_024503,2406
ZFP69,NM_001320179,526
PAFAH2,NM_000437,392
VAMP3,NM_004781,100
MACO1,NM_018202,664
LIN28A,NM_024674,209
TESK2,NM_007170,571
RLF,NM_012421,1914
CYP2J2,NM_000775,502
HPCA,NM_002143,193
PLCH2,NM_014638,1416
ATP5IF1,NM_016311,106
GUCA2A,NM_033553,115
SMIM12,NM_138428,92
THEMIS2,NM_001105556,643
FAF1,NM_007051,650
PEX14,NM_004565,377
RBP7,NM_052960,134
CCN1,NM_001554,381
FAM131C,NM_182623,280
FBXO2,NM_012168,296
MSH4,NM_002440,936
SESN2,NM_031459,480
HMGN2,NM_005517,90
OSCP1,NM_145047,379
MRPS15,NM_031280,257
ZNHIT6,NM_017953,470
TCEANC2,NM_153035,208
AKIRIN1,NM_024595,192
EPHA10,NM_001099439,1008
GIPC2,NM_017655,315
PDZK1IP1,NM_005764,114
GPR157,NM_024980,335
ATP6V0B,NM_004047,205
