ProteinID,Gene,Length
NP_000223,SGCB,318
NP_000224,LHCGR,699
NP_000225,LIG1,919
NP_000226,LIPA,399
NP_000227,LIPC,499
NP_000228,LPL,475
NP_000229,KCNH2,1159
NP_000230,LYZ,148
NP_000231,MAOA,527
NP_000233,MBL2,248
NP_000234,MEFV,781
NP_000238,MICA,383
NP_000240,MLH1,756
NP_000241,MPO,745
NP_000242,MSH2,934
NP_000243,MTM1,603
NP_000245,MTR,1265
NP_000246,MMUT,750
NP_000247,MYBPC3,1274
NP_000248,MYH7,1935
NP_000249,MYL3,195
NP_000250,MYO5A,1855
NP_000251,MYO7A,2215
NP_000252,MYOC,504
NP_000253,NAGA,411
NP_000254,NAGLU,743
NP_000255,PTCH1,1447
NP_000256,NCF1,390
NP_000257,NDP,133
NP_000259,NF2,595
NP_000261,PNP,289
NP_000262,NPC1,1278
NP_000263,NPHP1,733
NP_000264,GPR143,404
NP_000265,OAT,439
NP_000266,OCA2,838
NP_000268,PAH,452
NP_000272,PCBD1,104
NP_000273,PCCA,728
NP_000274,PDE6B,854
NP_000276,PEPD,493
NP_000277,PEX12,359
NP_000278,PEX6,980
NP_000279,PEX7,323
NP_000281,PGAM2,253
NP_000282,PGK1,417
NP_000283,PHKA2,1235
NP_000284,PHKB,1093
NP_000285,PHKG2,406
NP_000286,SERPINA1,418
NP_000288,PKD2,968
NP_000289,PKLR,574
NP_000290,PKP1,747
NP_000291,PLA2G2A,144
NP_000292,PLG,810
NP_000294,PMM2,246
NP_000295,PMP22,160
NP_000296,PON2,354
NP_000298,POU3F4,361
NP_000299,CTSA,498
NP_000300,PPOX,477
NP_000301,PPT1,306
NP_000302,PRNP,253
NP_000303,PROC,461
NP_000307,PTH1R,593
NP_000308,PTS,145
NP_000309,PEX2,305
NP_000311,QDPR,244
NP_000312,RB1,928
NP_000313,PRPH2,346
NP_000315,RHAG,409
NP_000316,PITX2,324
NP_000317,RLBP1,317
NP_000318,ROM1,351
NP_000320,RPE65,533
NP_000321,RS1,224
NP_000322,SAA1,122
NP_000323,ATXN1,815
NP_000325,SCN4A,1836
NP_000327,SCNN1B,640
NP_000328,SGCD,290
NP_000329,SLC12A1,1099
NP_000330,SLC12A3,1030
NP_000331,SLC2A2,524
NP_000332,SLC3A1,685
NP_000333,SLC4A1,911
NP_000334,SLC5A1,664
NP_000335,SMN1,294
NP_000336,SNCA,140
NP_000337,SOX9,509
NP_000339,SRD5A2,254
NP_000340,STAR,285
NP_000341,ABCA4,2273
NP_000344,TAT,454
NP_000345,SERPINA7,415
NP_000346,TCN2,427
NP_000349,TGFBI,683
NP_000350,TGM1,817
NP_000352,THBD,575
NP_000353,TIMP3,211
NP_000354,TNNI3,210
NP_000358,TPMT,245
NP_000359,TSC1,1164
NP_000360,TSHR,764
NP_000361,TTPA,278
NP_000362,TTR,147
NP_000363,TYR,529
NP_000364,UMPS,480
NP_000365,UROD,367
NP_000368,WAS,502
NP_000370,XDH,1333
NP_000371,XPA,273
NP_000372,MID1,667
NP_000374,AIRE,545
NP_000375,APOB,4563
NP_000377,BLMH,455
NP_000378,SLC25A20,301
NP_000381,CHM,653
NP_000382,TPP1,563
NP_000383,ABCC2,1545
NP_000384,COL5A2,1499
NP_000385,CRYAA,173
NP_000386,CSF2RB,897
NP_000387,CTSK,329
NP_000388,CYBB,570
NP_000390,EGR2,476
NP_000391,ERCC2,760
NP_000392,EXT2,751
NP_000393,G6PD,545
NP_000394,GALE,348
NP_000396,GM2A,193
NP_000397,GNRHR,328
NP_000398,GP1BB,206
NP_000399,GPD2,727
NP_000400,GUCA1A,201
NP_000401,HFE,348
NP_000403,HRG,525
NP_000406,IAPP,89
NP_000407,IFNGR1,489
NP_000408,IL2RA,272
NP_000409,IL4R,825
NP_000410,ITGA2B,1039
NP_000411,KEL,732
NP_000412,KRT10,584
NP_000413,KRT17,432
NP_000414,KRT2,639
NP_000415,KRT5,590
NP_000416,L1CAM,1257
NP_000417,LAMA2,3122
NP_000418,LOR,312
NP_000419,LTBP2,1821
NP_000420,MAT1A,395
NP_000421,PAFAH1B1,410
NP_000422,MVK,396
NP_000423,MYL2,166
NP_000424,NCF2,526
NP_000425,NEU1,415
NP_000426,NOTCH3,2321
NP_000428,PAFAH2,392
NP_000430,PCSK1,753
NP_000431,PDE6A,860
NP_000432,SLC26A4,780
NP_000433,PECAM1,738
NP_000435,PHEX,749
NP_000437,PON1,355
NP_000438,PSEN2,448
NP_000439,RAG1,1043
NP_000440,RFX5,616
NP_000441,SELE,610
NP_000442,SHOX,292
NP_000443,SLC10A2,348
NP_000444,SLC5A5,643
NP_000445,SOD1,154
NP_000446,STK11,433
NP_000447,SUOX,545
NP_000448,HNF4A,474
NP_000449,HNF1B,557
NP_000450,TEK,1124
NP_000452,THRB,461
NP_000453,UBE3A,875
NP_000454,UGT1A1,533
NP_000456,BARD1,777
NP_000457,PEX1,1283
NP_000465,TWIST1,202
NP_000466,NR0B1,470
NP_000468,ALB,609
NP_000469,ALPL,524
NP_000470,AMH,560
NP_000471,AMPD3,776
NP_000472,AMT,403
NP_000473,APOA4,396
NP_000474,APOC2,101
NP_000475,APP,770
NP_000476,APRT,180
NP_000477,AQP2,271
NP_000478,ARSA,509
NP_000479,SERPINC1,464
NP_000480,ATRX,2492
NP_000481,AVP,164
NP_000482,C1QB,253
NP_000483,CFTR,1480
NP_000484,COL10A1,680
NP_000485,COL17A1,1497
NP_000487,CRYBB2,205
NP_000488,CYP11B1,503
NP_000489,CYP11B2,503
NP_000490,CYP1A1,512
NP_000491,CYP21A2,495
NP_000493,EPX,715
NP_000495,F10,488
NP_000496,F12,615
NP_000497,F2,622
NP_000498,FBP1,338
NP_000499,FGA,866
NP_000501,FSHB,129
NP_000502,FUT2,343
NP_000504,OPN1MW,364
NP_000506,GH1,217
NP_000508,HBA2,142
NP_000509,HBB,147
NP_000510,HBD,147
NP_000512,HEXB,556
NP_000513,HOXA13,388
NP_000514,HOXD13,343
NP_000515,HTR1A,422
NP_000516,KCNJ11,390
NP_000517,KRT14,472
NP_000518,LDLR,860
NP_000519,MAN2B1,1011
NP_000520,MC2R,297
NP_000522,OTC,354
NP_000524,PLP1,277
NP_000525,PMS1,932
NP_000527,RAG2,527
NP_000528,REN,406
NP_000529,RFXAP,272
NP_000530,RHO,348
NP_000531,RYR1,5038
NP_000532,SAG,405
NP_000533,SFTPB,381
NP_000534,SMPD1,631
NP_000535,TAP2,703
NP_000537,TP53,393
NP_000538,TPO,933
NP_000539,TSC2,1807
NP_000540,TSHB,138
NP_000541,TYRP1,537
NP_000542,VHL,213
NP_000543,VWF,2813
NP_000544,WRN,1432
NP_000545,CRX,299
NP_000546,DCX,441
NP_000548,GDF5,501
NP_000549,HBA1,142
NP_000550,HBG1,147
NP_000551,CD53,219
NP_000552,GSTM1,218
NP_000553,C8A,584
NP_000555,IL5RA,420
NP_000556,IL6R,468
NP_000557,FCGR1A,374
NP_000558,CRP,224
NP_000560,FCGR3A,359
NP_000561,FCGR3B,233
NP_000563,IL10,178
NP_000566,IL1A,271
NP_000567,IL1B,269
NP_000569,SLC11A1,550
NP_000570,CCR5,352
NP_000572,GPX1,203
NP_000575,CXCL8,99
NP_000576,IL15,162
NP_000577,IL2,153
NP_000578,C7,843
NP_000579,IL3,152
NP_000580,IL4,153
NP_000581,IL9,144
NP_000582,CD14,375
NP_000584,TAP1,808
NP_000585,TNF,233
NP_000586,LTA,205
NP_000587,IGFBP1,259
NP_000588,IGFBP2,325
NP_000590,IGFBP5,272
NP_000591,IL6,212
NP_000592,HGF,728
NP_000593,SERPINE1,402
NP_000594,NOS3,1203
NP_000596,IFNA2,188
NP_000597,C8G,202
NP_000598,ORM1,201
NP_000599,ORM2,201
NP_000601,CD44,742
NP_000602,CD59,128
NP_000604,HPX,462
NP_000605,CNTF,200
NP_000607,CD4,458
NP_000610,IFNG,166
NP_000612,HTR2A,471
NP_000614,BDKRB2,391
NP_000615,SERPINA5,406
NP_000616,NOS2,1153
NP_000619,IL10RB,325
NP_000620,IFNAR1,557
NP_000624,BCL2,239
NP_000625,CXCR1,350
NP_000626,RFX2,723
NP_000627,SOD2,222
NP_000628,GSR,522
NP_000629,VTN,478
NP_000630,FASLG,281
NP_000631,IL13RA2,380
NP_000632,IL11,199
NP_000642,CR1,2489
NP_000646,SELL,372
NP_000651,TGFB1,390
NP_000652,RPL9,192
NP_000654,ABAT,500
NP_000657,ACY1,408
NP_000658,ADH1A,375
NP_000659,ADH1B,375
NP_000660,ADH1C,375
NP_000662,ADH5,374
NP_000665,ADORA1,326
NP_000666,ADORA2A,412
NP_000667,ADORA2B,332
NP_000668,ADORA3,318
NP_000669,ADRA1D,572
NP_000670,ADRA1B,520
NP_000672,ADRA2A,465
NP_000673,ADRA2B,450
NP_000674,ADRA2C,462
NP_000675,ADRB1,477
NP_000677,AGTR2,363
NP_000680,ALDH1A1,501
NP_000681,ALDH2,517
NP_000682,ALDH3A1,453
NP_000683,ALDH1B1,517
NP_000684,ALDH1A3,512
NP_000685,ALDH3B1,468
NP_000687,ALDH9A1,518
NP_000688,ALOX12,663
NP_000689,ALOX5,674
NP_000690,AMY2A,511
NP_000691,ANXA1,346
NP_000692,ATP1A1,1023
NP_000693,ATP1A2,1020
NP_000695,ATP4A,1035
NP_000696,ATP4B,291
NP_000697,AVPR1A,418
NP_000698,AVPR1B,424
NP_000700,BCKDHA,445
NP_000701,BDKRB1,353
NP_000703,BLVRA,296
NP_000704,BLVRB,206
NP_000705,TSPO,169
NP_000706,C4BPA,597
NP_000707,C4BPB,252
NP_000708,CA4,312
NP_000709,CACNA1B,2339
NP_000711,CACNA1D,2181
NP_000714,CACNB1,598
NP_000716,CACNB3,484
NP_000717,CACNB4,520
NP_000718,CACNG1,222
NP_000719,CALCB,127
NP_000720,CCK,115
NP_000721,CCKAR,428
NP_000723,CD3D,171
NP_000724,CD3E,207
NP_000728,CGB3,165
NP_000729,CHRM1,460
NP_000730,CHRM2,466
NP_000731,CHRM3,590
NP_000732,CHRM4,479
NP_000733,CHRNA2,529
NP_000734,CHRNA3,505
NP_000735,CHRNA4,627
NP_000736,CHRNA5,468
NP_000738,CHRNB1,501
NP_000739,CHRNB2,502
NP_000740,CHRNB3,458
NP_000741,CHRNB4,498
NP_000742,CHRND,517
NP_000745,COMT,271
NP_000747,CRH,196
NP_000748,CSF1,554
NP_000749,CSF2,144
NP_000750,CSF3,207
NP_000752,CYP1A2,516
NP_000753,CYP2A6,494
NP_000755,CYP2A7,494
NP_000756,CYP3A7,503
NP_000757,CYP2A13,494
NP_000758,CYP2B6,491
NP_000760,CYP2C19,490
NP_000761,CYP2C8,490
NP_000762,CYP2C9,490
NP_000763,CYP2C18,490
NP_000764,CYP2E1,493
NP_000765,CYP2F1,491
NP_000766,CYP2J2,502
NP_000768,CYP3A5,502
NP_000769,CYP4A11,519
NP_000771,CYP7A1,504
NP_000772,CYP11A1,521
NP_000773,CYP24A1,514
NP_000774,CYP26A1,497
NP_000775,CYP27A1,531
NP_000776,CYP27B1,508
NP_000777,CYP51A1,509
NP_000778,DBH,617
NP_000779,DCK,260
NP_000780,ACE,1306
NP_000781,DDC,480
NP_000782,DHFR,187
NP_000783,DIO1,249
NP_000785,DRD1,446
NP_000786,DRD2,443
NP_000787,DRD3,400
NP_000788,DRD4,419
NP_000789,DRD5,477
NP_000790,EPO,193
NP_000791,FGF1,155
NP_000792,FKBP1A,108
NP_000793,FOLR1,257
NP_000794,FOLR2,255
NP_000795,FOLR3,245
NP_000796,GAST,101
NP_000797,GABRA1,456
NP_000799,GABRA3,492
NP_000800,GABRA4,554
NP_000801,GABRA5,462
NP_000802,GABRA6,453
NP_000803,GABRB1,474
NP_000805,GABRB3,473
NP_000806,GABRD,452
NP_000808,GAD1,594
NP_000809,GAD2,585
NP_000810,GART,1010
NP_000811,GAS6,678
NP_000812,GGCX,758
NP_000814,GHRHR,423
NP_000815,GLRB,497
NP_000816,GNRH1,96
NP_000817,GRIA2,883
NP_000819,GRIA3,894
NP_000820,GRIA4,902
NP_000822,GRIK3,919
NP_000824,GRIN2A,1464
NP_000825,GRIN2B,1484
NP_000826,GRIN2C,1233
NP_000827,GRIN2D,1336
NP_000828,GRINA,371
NP_000830,GRM2,872
NP_000831,GRM3,879
NP_000832,GRM4,912
NP_000834,GRM6,877
NP_000837,GSTA2,222
NP_000838,GSTA3,222
NP_000839,GSTM2,218
NP_000840,GSTM3,225
NP_000841,GSTM4,218
NP_000842,GSTM5,218
NP_000843,GSTP1,210
NP_000844,GSTT1,240
NP_000847,GUCY1A1,690
NP_000850,HMGCR,888
NP_000851,HPGD,266
NP_000852,HRH1,487
NP_000853,HSD3B1,373
NP_000854,HTR1B,390
NP_000855,HTR1D,377
NP_000856,HTR1E,365
NP_000857,HTR1F,366
NP_000858,HTR2B,481
NP_000859,HTR2C,458
NP_000862,HTR6,440
NP_000864,ICAM2,275
NP_000866,IGF1R,1367
NP_000867,IGF2R,2491
NP_000868,IL1R1,569
NP_000869,IL2RB,551
NP_000870,IL5,134
NP_000871,IL7,177
NP_000873,IL12A,253
NP_000874,IMPDH1,599
NP_000875,IMPDH2,514
NP_000876,ITGA4,1032
NP_000879,ITGB6,788
NP_000880,ITGB7,798
NP_000881,KCNJ5,419
NP_000882,KCNJ2,427
NP_000883,KLKB1,638
NP_000885,LHB,141
NP_000886,LTA4H,611
NP_000887,CYP4F3,520
NP_000889,MAOB,520
NP_000890,KITLG,273
NP_000892,NR3C2,984
NP_000893,MME,750
NP_000894,NQO1,274
NP_000895,NQO2,231
NP_000896,NPY,97
NP_000897,NPR1,1061
NP_000900,NPY1R,384
NP_000901,NPY2R,381
NP_000902,OPRD1,372
NP_000906,OXT,125
NP_000907,OXTR,389
NP_000908,P4HA1,534
NP_000909,P4HB,508
NP_000911,PC,1178
NP_000912,PDE3A,1141
NP_000914,PDE4C,712
NP_000915,PDE1B,536
NP_000916,PDHB,359
NP_000917,PGR,933
NP_000919,PLA2G1B,148
NP_000920,PLA2G5,138
NP_000921,PLAT,562
NP_000923,PLCB3,1234
NP_000924,PLCB4,1194
NP_000925,SERPINF2,491
NP_000927,PNLIP,465
NP_000928,POLR2A,1970
NP_000929,POLR2B,1174
NP_000930,POMC,267
NP_000931,PON3,354
NP_000932,POR,680
NP_000933,PPIB,216
NP_000934,PPIC,212
NP_000935,PPP3CA,521
NP_000936,PPP3R1,170
NP_000937,PRIM1,420
NP_000938,PRIM2,509
NP_000939,PRL,227
NP_000940,PRLR,622
NP_000941,PRRG1,218
NP_000942,PRRG2,202
NP_000943,PTAFR,342
NP_000944,PTGDR,359
NP_000945,PTGDS,190
NP_000946,PTGER1,402
NP_000947,PTGER2,358
NP_000949,PTGER4,488
NP_000950,PTGFR,359
NP_000951,PTGIR,386
NP_000952,PTGIS,500
NP_000953,PTGS1,599
NP_000954,PTGS2,604
NP_000955,RARA,462
NP_000957,RARG,454
NP_000958,RPL3,403
NP_000959,RPL4,427
NP_000960,RPL5,297
NP_000961,RPL6,288
NP_000962,RPL7,248
NP_000963,RPL7A,266
NP_000964,RPL8,257
NP_000966,RPL11,178
NP_000967,RPL12,165
NP_000968,RPL13,211
NP_000969,RPL23,140
NP_000970,RPL18,188
NP_000971,RPL18A,176
NP_000972,RPL19,196
NP_000973,RPL21,160
NP_000974,RPL22,128
NP_000975,RPL23A,156
NP_000977,RPL24,157
NP_000978,RPL26,145
NP_000979,RPL27,136
NP_000980,RPL30,115
NP_000981,RPL27A,148
NP_000983,RPL29,159
NP_000985,RPL32,135
NP_000986,RPL34,117
NP_000987,RPL35A,110
NP_000988,RPL37,97
NP_000989,RPL37A,92
NP_000990,RPL38,70
NP_000991,RPL39,51
NP_000992,RPL36AL,106
NP_000993,RPLP0,317
NP_000994,RPLP1,114
NP_000995,RPLP2,115
NP_000997,RPS3A,264
NP_000998,RPS4X,263
NP_000999,RPS4Y1,263
NP_001000,RPS5,204
NP_001001,RPS6,249
NP_001001317,PRSS58,241
NP_001001325,SPINK14,97
NP_001001330,REEP3,255
NP_001001331,ATP2B2,1243
NP_001001343,FNDC9,224
NP_001001344,ATP2B3,1220
NP_001001346,CLDN20,219
NP_001001394,DNAJB3,145
NP_001001410,TSR3,312
NP_001001411,ZNF676,588
NP_001001412,CALHM1,346
NP_001001413,GOLGA6L1,668
NP_001001414,NCCRP1,275
NP_001001415,ZNF429,674
NP_001001417,TBC1D3B,549
NP_001001418,TBC1D3C,549
NP_001001433,STX16,325
NP_001001436,C16orf87,154
NP_001001437,CCL3L3,93
NP_001001479,SLC35E4,350
NP_001001480,KRTAP5-5,237
NP_001001481,UBE2W,162
NP_001001524,TM6SF2,377
NP_001001551,IDNK,187
NP_001001557,GDF6,455
NP_001001563,TIMM50,353
NP_001001655,ALKBH2,261
NP_001001656,OR9A4,314
NP_001001657,OR2Y1,311
NP_001001658,OR9A2,310
NP_001001659,OR2A14,310
NP_001001660,ETFRF1,90
NP_001001661,ZNF425,752
NP_001001662,ZNF782,699
NP_001001663,TMEM211,129
NP_001001664,SPOPL,392
NP_001001667,OR6V1,313
NP_001001668,ZNF470,717
NP_001001669,ARHGEF37,675
NP_001001670,SPATA31D1,1576
NP_001001671,MAP3K15,1313
NP_001001674,OR4F15,312
NP_001001676,LCN9,176
NP_001001683,MED11,117
NP_001001710,FAM166A,317
NP_001001711,DDI1,396
NP_001001712,LCN10,200
NP_001001722,CDY2B,541
NP_001001786,BLID,108
NP_001001788,RAET1G,334
NP_001001794,DENND6B,585
NP_001001795,C8orf82,216
NP_001001802,OR2A42,310
NP_001001821,OR2T34,318
NP_001001824,OR2T27,317
NP_001001827,OR2T35,323
NP_001001850,STX19,294
NP_001001852,PIM3,326
NP_001001872,ARMH4,774
NP_001001888,VCX3B,246
NP_001001912,OR4E2,313
NP_001001913,OR52N1,320
NP_001001914,OR2G3,309
NP_001001915,OR2G2,317
NP_001001916,OR52J3,311
NP_001001917,OR56A1,318
NP_001001918,OR14C36,312
NP_001001919,OR13C4,318
NP_001001920,OR4C15,316
NP_001001921,OR5AS1,324
NP_001001922,OR52N5,324
NP_001001923,OR5C1,320
NP_001001933,LHX8,356
NP_001001938,C9orf47,202
NP_001001952,OR5D18,313
NP_001001953,OR10G9,311
NP_001001954,OR5A2,324
NP_001001955,OR4C13,309
NP_001001956,OR13C9,318
NP_001001957,OR2W3,314
NP_001001958,OR7G3,312
NP_001001959,OR11L1,322
NP_001001960,OR5W2,310
NP_001001961,OR13C3,347
NP_001001963,OR2L8,312
NP_001001964,OR2T11,316
NP_001001965,OR4D5,318
NP_001001966,OR14A16,309
NP_001001967,OR5D13,314
NP_001001968,OR6S1,331
NP_001001973,ATP5F1C,298
NP_001001995,GPM6B,328
NP_001001998,EXOSC10,885
NP_001002,RPS7,194
NP_001002010,NT5C3A,331
NP_001002021,PFKL,830
NP_001002029,C4B,1744
NP_001002031,ATP5MC2,157
NP_001002032,JPT1,181
NP_001002034,PHETA2,259
NP_001002035,DEFB108B,73
NP_001002036,ASTL,431
NP_001002244,ANAPC11,196
NP_001002254,AWAT2,333
NP_001002255,SUMO4,95
NP_001002259,CAPRIN2,1127
NP_001002261,ZFYVE27,416
NP_001002264,EPSTI1,410
NP_001002292,WLS,543
NP_001002295,GATA3,444
NP_001002755,NFU1,254
NP_001002758,PRY2,147
NP_001002759,SFR1,245
NP_001002760,BPY2B,106
NP_001002761,BPY2C,106
NP_001002814,RAB11FIP1,1283
NP_001002836,ZNF787,382
NP_001002847,DERPC,524
NP_001002858,ANXA2,357
NP_001002860,BTBD7,1132
NP_001002880,CBY1,169
NP_001002901,FCRLB,426
NP_001002906,XKRY2,117
NP_001002907,OR8K1,319
NP_001002909,GPATCH8,1502
NP_001002911,GPR139,353
NP_001002912,ERICH3,1530
NP_001002913,PTRH1,214
NP_001002915,IGFL2,130
NP_001002916,H2BW1,175
NP_001002917,OR8D1,308
NP_001002918,OR8D2,311
NP_001002919,ALKAL2,152
NP_001002923,IGFL4,124
NP_001002925,OR5AP2,316
NP_001002926,TWISTNB,338
NP_001003,RPS8,208
NP_001003443,OR56A3,315
NP_001003665,STUM,141
NP_001003677,C11orf49,337
NP_001003681,HMGXB4,601
NP_001003682,TMEM200B,307
NP_001003690,MAD2L1BP,306
NP_001003693,LY6G6F,297
NP_001003694,BRPF1,1220
NP_001003699,RREB1,1742
NP_001003701,ATP5PF,116
NP_001003702,ARHGEF35,484
NP_001003722,GLE1,698
NP_001003745,OR10A3,314
NP_001003750,OR8I2,310
NP_001003760,KLHL31,634
NP_001003787,STRADA,431
NP_001003793,RBMS3,437
NP_001003800,BICD2,855
NP_001003801,SMARCD3,483
NP_001003803,DMAC2L,200
NP_001003806,TARP,111
NP_001003811,TEX11,940
NP_001003818,TRIM6,516
NP_001003819,TRIM6-TRIM34,842
NP_001003828,PARVB,397
NP_001003841,SLC6A19,634
NP_001003845,SP5,398
NP_001003891,MED15,788
NP_001003892,DUPD1,220
NP_001003895,CDY1B,554
NP_001003927,EVI2A,259
NP_001003931,PARP3,540
NP_001003936,TXNDC8,115
NP_001003937,TSPYL6,410
NP_001003938,HBM,141
NP_001003945,ALAD,359
NP_001003954,ANXA13,357
NP_001004,RPS9,194
NP_001004019,FBLN2,1231
NP_001004052,OR52B2,323
NP_001004058,OR8K5,307
NP_001004059,OR4S2,311
NP_001004060,NOMO2,1267
NP_001004063,OR4K1,311
NP_001004064,OR8J3,315
NP_001004067,NOMO3,1222
NP_001004124,OR4P4,312
NP_001004125,TUSC1,212
NP_001004127,ALG11,492
NP_001004134,OR10AD1,317
NP_001004135,OR2A12,310
NP_001004136,OR2T2,324
NP_001004137,OR52M1,317
NP_001004195,OR4F4,305
NP_001004196,CD200,294
NP_001004297,OR13A1,328
NP_001004301,ZNF813,617
NP_001004303,FYB2,728
NP_001004304,ZNF740,193
NP_001004308,RTL4,310
NP_001004309,ZNF774,483
NP_001004310,FCRL6,434
NP_001004311,FIGLA,219
NP_001004312,RTP2,225
NP_001004313,TMEM220,160
NP_001004316,LEKR1,692
NP_001004317,LIN28B,250
NP_001004318,ACP7,438
NP_001004319,VHLL,139
NP_001004320,AGMO,445
NP_001004323,C7orf61,206
NP_001004325,KRTAP5-2,177
NP_001004328,ZNF705A,300
NP_001004329,DBX2,339
NP_001004330,PLEKHG7,379
NP_001004333,RNASEK,137
NP_001004334,GPR179,2367
NP_001004339,ZYG11A,759
NP_001004341,ETV3L,361
NP_001004342,TRIM67,783
NP_001004343,MAP1LC3C,147
NP_001004351,SPDYE3,549
NP_001004352,LOC100506422,141
NP_001004354,NRARP,114
NP_001004419,CLEC2D,194
NP_001004431,METRNL,311
NP_001004432,LINGO4,593
NP_001004434,SLC30A2,372
NP_001004439,ITGA11,1188
NP_001004440,TAFA3,169
NP_001004441,ANKRD34B,514
NP_001004450,OR1B1,318
NP_001004451,OR1J1,322
NP_001004452,OR1J4,313
NP_001004453,OR1L6,311
NP_001004454,OR1L8,309
NP_001004456,OR1M1,313
NP_001004457,OR1N2,316
