Gene,Transcript,Prot_length
ADGRG6,NM_198569,1250
ADGRG7,NM_032787,797
ADGRL1,NM_001008701,1474
ADGRL2,NM_001350698,1463
ADGRL3,NM_001322402,1537
ADGRL4,NM_022159,690
ADGRV1,NM_032119,6306
ADH1A,NM_000667,375
ADH1B,NM_000668,375
ADH4,NM_001306171,399
ADH5,NM_000671,374
ADH6,NM_001102470,375
ADH7,NM_001166504,394
ADHFE1,NM_144650,467
ADI1,NM_018269,179
ADIG,NM_001018082,80
ADIPOQ,NM_001177800,244
ADIPOR1,NM_001290553,375
ADIPOR2,NM_024551,386
ADIRF,NM_006829,76
ADK,NM_006721,362
ADM,NM_001124,185
ADM2,NM_001253845,148
ADM5,NM_001101340,153
ADNP,NM_001282531,1102
ADNP2,NM_014913,1131
ADO,NM_032804,270
ADORA1,NM_000674,326
ADORA2A,NM_000675,412
ADORA2B,NM_000676,332
ADORA3,NM_000677,318
ADPGK,NM_031284,496
ADPRH,NM_001125,357
ADPRHL1,NM_138430,354
ADPRM,NM_020233,342
ADPRS,NM_017825,363
ADRA1A,NM_033303,475
ADRA1B,NM_000679,520
ADRA1D,NM_000678,572
ADRA2A,NM_000681,465
ADRA2B,NM_000682,450
ADRA2C,NM_000683,462
ADRB1,NM_000684,477
ADRB2,NM_000024,413
ADRB3,NM_000025,408
ADRM1,NM_007002,407
ADSL,NM_000026,484
ADSS1,NM_199165,500
ADSS2,NM_001126,456
ADTRP,NM_001143948,248
AEBP1,NM_001129,1158
AEBP2,NM_001114176,517
AEN,NM_022767,325
AFAP1,NM_001134647,814
AFAP1L1,NM_152406,768
AFAP1L2,NM_001287824,871
AFDN,NM_001291964,1781
AFF1,NM_001166693,1218
AFF2,NM_002025,1311
AFF3,NM_001025108,1251
AFF4,NM_014423,1163
AFG1L,NM_145315,481
AFG3L2,NM_006796,797
AFM,NM_001133,599
AFMID,NM_001145526,308
AFP,NM_001134,609
AFTPH,NM_203437,936
AGA,NM_000027,346
AGAP1,NM_001037131,857
AGAP11,NM_133447,550
AGAP2,NM_001122772,1192
AGAP3,NM_031946,911
AGAP4,NM_001276343,686
AGAP5,NM_001144000,686
AGAP6,NM_001077665,686
AGAP9,NM_001190810,658
AGBL1,NM_152336,1112
AGBL2,NM_024783,902
AGBL3,NM_178563,920
AGBL4,NM_001323574,515
AGBL5,NM_021831,886
AGER,NM_001206929,420
AGFG1,NM_001135187,584
AGFG2,NM_006076,481
AGGF1,NM_018046,714
AGK,NM_018238,422
AGL,NM_000028,1532
AGMAT,NM_024758,352
AGMO,NM_001004320,445
AGO1,NM_012199,857
AGO2,NM_012154,859
AGO3,NM_024852,860
AGO4,NM_017629,861
AGPAT1,NM_006411,283
AGPAT2,NM_006412,278
AGPAT3,NM_001037553,376
AGPAT4,NM_020133,378
AGPAT5,NM_018361,364
AGPS,NM_003659,658
AGR2,NM_006408,175
AGR3,NM_176813,166
AGRN,NM_198576,2045
AGRP,NM_001138,132
AGT,NM_000029,485
AGTPBP1,NM_001286715,1278
AGTR1,NM_004835,394
AGTR2,NM_000686,363
AGTRAP,NM_020350,159
AGXT,NM_000030,392
AGXT2,NM_031900,514
AHCTF1,NM_015446,2275
AHCY,NM_001322086,434
AHCYL1,NM_006621,530
AHCYL2,NM_015328,611
AHDC1,NM_001029882,1603
AHI1,NM_001134830,1196
AHNAK,NM_001346445,5890
AHNAK2,NM_138420,5795
AHR,NM_001621,848
AHRR,NM_020731,719
AHSA1,NM_012111,338
AHSA2P,NM_001321301,184
AHSG,NM_001622,367
AHSP,NM_001318221,102
AICDA,NM_020661,198
AIDA,NM_022831,306
AIF1,NM_001623,147
AIF1L,NM_001185095,176
AIFM1,NM_004208,613
AIFM2,NM_001198696,373
AIFM3,NM_144704,605
AIG1,NM_016108,238
AIM2,NM_004833,343
AIMP1,NM_001142415,312
AIMP2,NM_006303,320
AIP,NM_003977,330
AIPL1,NM_014336,384
AIRE,NM_000383,545
AJAP1,NM_001042478,411
AJM1,NM_001080482,976
AJUBA,NM_032876,538
AK1,NM_001318122,210
AK2,NM_001625,239
AK3,NM_016282,227
AK4,NM_001005353,223
AK5,NM_174858,562
AK6,NM_016283,172
AK7,NM_152327,723
AK8,NM_152572,479
AK9,NM_001145128,1911
AKAIN1,NM_001330553,76
AKAP1,NM_001242902,903
AKAP10,NM_007202,662
AKAP11,NM_016248,1901
AKAP12,NM_005100,1782
AKAP13,NM_006738,2817
AKAP14,NM_178813,197
AKAP17A,NM_005088,695
AKAP3,NM_001278309,853
AKAP4,NM_003886,854
AKAP5,NM_004857,427
AKAP6,NM_004274,2319
AKAP7,NM_016377,348
AKAP8,NM_005858,692
AKAP8L,NM_014371,646
AKAP9,NM_005751,3907
AKIP1,NM_020642,210
AKIRIN1,NM_024595,192
AKIRIN2,NM_018064,203
AKNA,NM_001317950,1439
AKNAD1,NM_152763,836
AKR1A1,NM_001202413,325
AKR1B1,NM_001628,316
AKR1B10,NM_020299,316
AKR1B15,NM_001080538,344
AKR1C1,NM_001353,323
AKR1C2,NM_001354,323
AKR1C3,NM_001253908,323
AKR1C4,NM_001818,323
AKR1D1,NM_005989,326
AKR1E2,NM_001040177,320
AKR7A2,NM_003689,359
AKR7A3,NM_012067,331
AKT1,NM_001014431,480
AKT1S1,NM_032375,276
AKT2,NM_001626,481
AKT3,NM_005465,479
AKTIP,NM_001308325,293
ALAD,NM_001003945,359
ALAS1,NM_001304444,657
ALAS2,NM_000032,587
ALB,NM_000477,609
ALCAM,NM_001627,583
ALDH16A1,NM_153329,802
ALDH18A1,NM_001323413,795
ALDH1A1,NM_000689,501
ALDH1A2,NM_003888,518
ALDH1A3,NM_000693,512
ALDH1B1,NM_000692,517
ALDH1L1,NM_001270364,912
ALDH1L2,NM_001034173,923
ALDH2,NM_000690,517
ALDH3A1,NM_000691,453
ALDH3A2,NM_001031806,508
ALDH3B2,NM_000695,385
ALDH4A1,NM_003748,563
ALDH5A1,NM_170740,548
ALDH6A1,NM_005589,535
ALDH7A1,NM_001182,539
ALDH8A1,NM_022568,487
ALDH9A1,NM_000696,518
ALDOA,NM_001243177,418
ALDOB,NM_000035,364
ALDOC,NM_005165,364
ALG1,NM_019109,464
ALG10,NM_032834,473
ALG10B,NM_001013620,473
ALG11,NM_001004127,492
ALG12,NM_024105,488
ALG13,NM_001099922,1137
ALG14,NM_144988,216
ALG1L,NM_001195223,207
ALG1L2,NM_001136152,215
ALG2,NM_033087,416
ALG3,NM_005787,438
ALG5,NM_013338,324
ALG6,NM_013339,507
ALG8,NM_024079,526
ALG9,NM_024740,618
ALK,NM_004304,1620
ALKAL1,NM_207413,129
ALKAL2,NM_001002919,152
ALKBH1,NM_006020,389
ALKBH2,NM_001001655,261
ALKBH3,NM_139178,286
ALKBH4,NM_017621,302
ALKBH5,NM_017758,394
ALKBH6,NM_032878,266
ALKBH7,NM_032306,221
ALKBH8,NM_001301010,667
ALLC,NM_018436,391
ALMS1,NM_015120,4169
ALOX12,NM_000697,663
ALOX12B,NM_001139,701
ALOX15,NM_001140,662
ALOX15B,NM_001141,676
ALOX5,NM_000698,674
ALOX5AP,NM_001204406,218
ALOXE3,NM_001165960,843
ALPG,NM_031313,532
ALPI,NM_001631,528
ALPK1,NM_001102406,1244
ALPK2,NM_052947,2170
ALPK3,NM_020778,1705
ALPL,NM_000478,524
ALPP,NM_001632,535
ALS2,NM_020919,1657
ALS2CL,NM_001190707,953
ALX1,NM_006982,326
ALX3,NM_006492,343
ALX4,NM_021926,411
ALYREF,NM_005782,264
AMACR,NM_001167595,394
AMBN,NM_016519,447
AMBP,NM_001633,352
AMBRA1,NM_001267782,1301
AMD1,NM_001634,334
AMDHD1,NM_152435,426
AMDHD2,NM_001145815,594
AMELX,NM_182680,205
AMER1,NM_152424,1135
AMER2,NM_152704,671
AMER3,NM_001105193,861
AMFR,NM_001323512,675
AMH,NM_000479,560
AMHR2,NM_020547,573
AMIGO1,NM_020703,493
AMIGO2,NM_001143668,522
AMIGO3,NM_198722,504
AMMECR1,NM_015365,333
AMMECR1L,NM_001199140,310
AMN,NM_030943,453
AMN1,NM_001113402,258
AMOT,NM_001113490,1084
AMOTL1,NM_130847,956
AMOTL2,NM_001278683,837
AMPD1,NM_000036,780
AMPD2,NM_001257360,879
AMPD3,NM_000480,776
AMPH,NM_001635,695
AMT,NM_000481,403
AMTN,NM_212557,209
AMY1A,NM_001008221,511
AMY1B,NM_001008218,511
AMY1C,NM_001008219,511
AMY2A,NM_000699,511
AMY2B,NM_020978,511
AMZ1,NM_133463,498
AMZ2,NM_001033569,360
ANAPC1,NM_022662,1944
ANAPC10,NM_001318367,219
ANAPC11,NM_001002244,196
ANAPC13,NM_001242374,74
ANAPC15,NM_001330321,190
ANAPC16,NM_001242546,110
ANAPC2,NM_013366,822
ANAPC4,NM_001286756,809
ANAPC5,NM_016237,755
ANAPC7,NM_016238,599
ANG,NM_001097577,147
ANGEL1,NM_015305,670
ANGEL2,NM_144567,544
ANGPT1,NM_001146,498
ANGPT2,NM_001147,496
ANGPT4,NM_015985,503
ANGPTL1,NM_004673,491
ANGPTL2,NM_012098,493
ANGPTL3,NM_014495,460
ANGPTL4,NM_139314,406
ANGPTL5,NM_178127,388
ANGPTL6,NM_001321411,470
ANGPTL7,NM_021146,346
ANGPTL8,NM_018687,198
ANHX,NM_001191054,379
ANK1,NM_001142446,1897
ANK2,NM_001148,3957
ANK3,NM_020987,4377
ANKAR,NM_144708,1434
ANKDD1A,NM_182703,522
ANKDD1B,NM_001276713,528
ANKEF1,NM_022096,776
ANKFN1,NM_153228,763
ANKFY1,NM_001257999,1211
ANKH,NM_054027,492
ANKHD1,NM_017747,2542
ANKHD1-EIF4EBP3,NM_020690,2617
ANKIB1,NM_019004,1089
ANKK1,NM_178510,765
ANKLE1,NM_152363,615
ANKLE2,NM_015114,938
ANKMY1,NM_001282771,1030
ANKMY2,NM_020319,441
ANKRA2,NM_023039,313
ANKRD1,NM_014391,319
ANKRD10,NM_017664,420
ANKRD11,NM_001256182,2663
ANKRD12,NM_015208,2062
ANKRD13A,NM_033121,590
ANKRD13B,NM_152345,626
ANKRD13C,NM_030816,541
ANKRD13D,NM_207354,605
ANKRD16,NM_001009941,361
ANKRD17,NM_032217,2603
ANKRD18A,NM_001331100,1054
ANKRD18B,NM_001244752,1010
ANKRD2,NM_001291218,446
ANKRD20A1,NM_032250,823
ANKRD20A2,NM_001012421,823
ANKRD20A3,NM_001012419,823
ANKRD20A4,NM_001098805,823
ANKRD22,NM_144590,191
ANKRD23,NM_144994,305
ANKRD24,NM_133475,1146
ANKRD26,NM_014915,1710
ANKRD27,NM_032139,1050
ANKRD28,NM_001349277,1086
ANKRD29,NM_173505,301
ANKRD30A,NM_052997,1341
ANKRD30B,NM_001145029,1392
ANKRD31,NM_001164443,1873
ANKRD33,NM_182608,452
ANKRD33B,NM_001164440,494
ANKRD34A,NM_001039888,496
ANKRD34B,NM_001004441,514
ANKRD34C,NM_001146341,535
ANKRD35,NM_144698,1001
ANKRD36,NM_001164315,1941
ANKRD36B,NM_025190,1353
ANKRD36C,NM_001310154,2144
ANKRD37,NM_181726,158
ANKRD39,NM_016466,183
ANKRD40,NM_052855,368
ANKRD42,NM_001300975,527
ANKRD44,NM_001195144,993
ANKRD45,NM_198493,266
ANKRD46,NM_001270379,232
ANKRD49,NM_017704,239
ANKRD50,NM_020337,1429
ANKRD52,NM_173595,1076
ANKRD53,NM_001115116,530
ANKRD54,NM_138797,300
ANKRD55,NM_024669,614
ANKRD6,NM_001242809,727
ANKRD60,NM_001304369,345
ANKRD61,NM_001271700,418
ANKRD62,NM_001277333,917
ANKRD63,NM_001190479,380
ANKRD65,NM_001145210,399
ANKRD66,NM_001162435,251
ANKRD7,NM_019644,254
ANKRD9,NM_001348651,317
ANKS1A,NM_015245,1134
ANKS1B,NM_152788,1248
ANKS3,NM_133450,656
ANKS4B,NM_145865,417
ANKS6,NM_173551,871
ANKUB1,NM_001144960,544
ANKZF1,NM_001042410,726
ANLN,NM_018685,1124
ANO1,NM_018043,986
ANO10,NM_001346464,699
ANO2,NM_001278596,1003
ANO3,NM_001313726,1042
ANO4,NM_001286615,955
ANO5,NM_213599,913
ANO6,NM_001204803,931
ANO7,NM_001001891,933
ANO8,NM_020959,1232
ANO9,NM_001012302,782
ANOS1,NM_000216,680
ANP32A,NM_006305,249
ANP32B,NM_006401,251
ANP32C,NM_012403,234
ANP32D,NM_012404,131
ANP32E,NM_030920,268
ANPEP,NM_001150,967
ANTKMT,NM_023933,235
ANTXR1,NM_032208,564
ANTXR2,NM_001145794,489
ANTXRL,NM_001278688,631
ANXA1,NM_000700,346
ANXA10,NM_007193,324
ANXA11,NM_001157,505
ANXA13,NM_001003954,357
ANXA2,NM_001002858,357
ANXA2R,NM_001014279,193
ANXA3,NM_005139,323
ANXA4,NM_001153,321
ANXA5,NM_001154,320
ANXA6,NM_001155,673
ANXA7,NM_004034,488
ANXA8,NM_001271702,365
ANXA8L1,NM_001098845,327
ANXA9,NM_003568,345
AOAH,NM_001637,575
AOC1,NM_001272072,770
AOC2,NM_009590,756
AOC3,NM_003734,763
AOPEP,NM_001193329,819
AOX1,NM_001159,1338
AP1AR,NM_018569,302
AP1B1,NM_001127,949
AP1G1,NM_001030007,825
AP1G2,NM_003917,785
AP1M1,NM_001130524,435
AP1M2,NM_001300887,425
AP1S1,NM_001283,158
AP1S2,NM_001272071,160
AP1S3,NM_001039569,154
AP2A1,NM_014203,977
AP2A2,NM_001242837,940
AP2B1,NM_001030006,951
AP2M1,NM_001025205,433
AP2S1,NM_001301076,158
AP3B1,NM_003664,1094
AP3B2,NM_001278512,1101
AP3D1,NM_001261826,1215
AP3M1,NM_001320263,418
AP3M2,NM_001134296,418
AP3S1,NM_001284,193
AP3S2,NM_005829,193
AP4B1,NM_001253852,739
AP4E1,NM_007347,1137
AP4M1,NM_004722,453
AP4S1,NM_007077,159
AP5B1,NM_138368,878
AP5M1,NM_018229,490
AP5S1,NM_001204446,200
AP5Z1,NM_014855,807
APAF1,NM_181861,1248
APBA1,NM_001163,837
APBA2,NM_005503,749
APBA3,NM_004886,575
APBB1,NM_001164,710
APBB1IP,NM_019043,666
APBB2,NM_004307,759
APBB3,NM_006051,493
APC,NM_000038,2843
APC2,NM_005883,2303
APCDD1,NM_153000,514
APCDD1L,NM_001304787,512
APCS,NM_001639,223
APEH,NM_001640,732
APEX1,NM_001244249,318
APEX2,NM_014481,518
APH1A,NM_001077628,265
APH1B,NM_031301,257
API5,NM_001142930,524
APIP,NM_015957,242
APLF,NM_173545,511
APLN,NM_017413,77
APLNR,NM_005161,380
APLP1,NM_001024807,651
APLP2,NM_001642,763
APMAP,NM_020531,416
APOA1,NM_000039,267
APOA2,NM_001643,100
APOA4,NM_000482,396
APOA5,NM_001166598,366
APOB,NM_000384,4563
APOBEC1,NM_001304566,236
APOBEC2,NM_006789,224
APOBEC3A,NM_145699,199
APOBEC3A_B,NM_001193289,199
APOBEC3B,NM_004900,382
APOBEC3C,NM_014508,190
APOBEC3D,NM_152426,386
APOBEC3F,NM_145298,373
APOBEC3G,NM_021822,384
APOBEC3H,NM_001166003,200
APOBEC4,NM_203454,367
APOBR,NM_018690,1097
APOC1,NM_001321065,83
APOC2,NM_000483,101
APOC3,NM_000040,99
APOC4,NM_001646,127
APOD,NM_001647,189
APOE,NM_001302688,343
APOF,NM_001638,326
APOH,NM_000042,345
APOL1,NM_145343,414
APOL2,NM_030882,337
APOL3,NM_145640,402
APOL5,NM_030642,433
APOL6,NM_030641,343
APOLD1,NM_001130415,279
APOM,NM_019101,188
APOO,NM_024122,198
APOOL,NM_198450,268
APP,NM_000484,770
APPBP2,NM_006380,585
APPL1,NM_012096,709
APPL2,NM_001251904,670
APRT,NM_000485,180
APTX,NM_001195248,342
AQP1,NM_001329872,323
AQP10,NM_080429,301
AQP11,NM_173039,271
AQP12A,NM_198998,295
AQP12B,NM_001102467,307
AQP2,NM_000486,271
AQP3,NM_004925,292
AQP4,NM_001650,323
AQP5,NM_001651,265
AQP6,NM_001652,282
AQP7,NM_001170,342
AQP8,NM_001169,261
AQP9,NM_020980,295
AQR,NM_014691,1485
AR,NM_000044,920
ARAF,NM_001256196,609
ARAP1,NM_001040118,1450
ARAP2,NM_015230,1704
ARAP3,NM_022481,1544
ARC,NM_015193,396
ARCN1,NM_001655,511
AREG,NM_001657,252
AREL1,NM_001039479,823
ARF1,NM_001024226,181
ARF3,NM_001659,181
ARF4,NM_001660,180
ARF5,NM_001662,180
ARF6,NM_001663,175
ARFGAP1,NM_175609,414
ARFGAP2,NM_032389,521
ARFGAP3,NM_014570,516
ARFGEF1,NM_006421,1849
ARFGEF2,NM_006420,1785
ARFGEF3,NM_020340,2177
ARFIP1,NM_001025595,373
ARFIP2,NM_001242854,374
ARFRP1,NM_001267547,201
ARG1,NM_001244438,330
ARG2,NM_001172,354
ARGFX,NM_001012659,315
ARGLU1,NM_018011,273
ARHGAP1,NM_004308,439
ARHGAP10,NM_024605,786
ARHGAP11A,NM_014783,1023
ARHGAP11B,NM_001039841,267
ARHGAP12,NM_018287,846
ARHGAP15,NM_018460,475
ARHGAP17,NM_001006634,881
ARHGAP18,NM_033515,663
ARHGAP19,NM_032900,494
ARHGAP20,NM_020809,1191
ARHGAP21,NM_020824,1958
ARHGAP22,NM_001256024,714
ARHGAP23,NM_001199417,1491
ARHGAP24,NM_001025616,748
ARHGAP25,NM_001007231,646
ARHGAP26,NM_015071,814
ARHGAP27,NM_001282290,889
ARHGAP28,NM_001010000,570
ARHGAP29,NM_001328664,1261
ARHGAP30,NM_001025598,1101
ARHGAP31,NM_020754,1444
ARHGAP32,NM_001142685,2087
ARHGAP33,NM_052948,1126
ARHGAP35,NM_004491,1499
ARHGAP36,NM_144967,547
ARHGAP39,NM_025251,1114
